ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Note
Shanenawa-10_bird-1,,Shanenawa,10_bird,juina,juina,j u + i n a,,lanes2005,78,,,,0,j u + i n a,thing domesticated,
Yawanawa-10_bird-1,,Yawanawa,10_bird,juina,juina,j u + i n a,,paula1992,78,,,,0,j u + i n a,thing domesticated,
Nukini-10_bird-1,,Nukini,10_bird,pãri,pãri,p ã r i,,aguiar2004,83,,,,0,p ã r i,?,
Poyanawa-10_bird-1,,Poyanawa,10_bird,puya,puya,p ɨ n + j a,,paula1992,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Iskonawa-10_bird-1,,Iskonawa,10_bird,piɾiʃika,piɾiʃika,p i ɾ i ʃ i k a,,zariquiey2017,1557,,,,0,p i ɾ i ʃ i k a,?,
Chakobo-10_bird-1,,Chakobo,10_bird,isaka,isaka,i s a k a,,zingg1998,77,,,,0,- i s a k a,passerine,
Pakawara-10_bird-1,,Pakawara,10_bird,isku,isku,i s k u,,key2000,82,,,,0,i s k u,cacique_bird,
Kakataibo-10_bird-1,,Kakataibo,10_bird,?isa,ʔisa,ʔ i s a,,zariquiey2017,77,,,,0,ʔ i s a - -,passerine,
Kaxarari-10_bird-1,,Kaxarari,10_bird,ʂuipiatu,ʂuipiatu,ʂ u i p i a t u,,couto2005,86,,,,0,ʂ u i p i a t u,?,
Mastanawa-10_bird-1,,Mastanawa,10_bird,pɨja,pɨja,p ɨ n + j a,,zariquiey2017,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Chaninawa-10_bird-1,,Chaninawa,10_bird,pɨija,pɨija,p ɨ n + j a,,zariquiey2017,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Sharanawa-10_bird-1,,Sharanawa,10_bird,pɨija,pɨija,p ɨ n + j a,,zariquiey2017,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Sharanawa-10_bird-2,,Sharanawa,10_bird,t͡sit͡sipiu,t͡sit͡sipiu,ts i ts i p i u,,zariquiey2017,79,,,,0,ts i ts i p i u,?,
Amawaka-10_bird-1,,Amawaka,10_bird,pɨnja,pɨnja,p ɨ n + j a,,zariquiey2017,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Nawa-10_bird-1,,Nawa,10_bird,pɨja,pɨja,p ɨ n + j a,,zariquiey2017,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Marinawa-10_bird-1,,Marinawa,10_bird,pɨ:ja,pɨ:ja,p ɨ n + j a,,zariquiey2017,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Marinawa-10_bird-2,,Marinawa,10_bird,tsi:tsipju,tsi:tsipju,ts i ts i p i u,,zariquiey2017,79,,,,0,ts i ts i p i u,?,
Yaminawa-10_bird-1,,Yaminawa,10_bird,pɨja,pɨja,p ɨ n + j a,,zariquiey2017,76,,,,0,p ɨ n ( + ) j a,arm/wing _prop,
Kashinawa_P-10_bird-1,,Kashinawa_P,10_bird,isa,isa,i s a,,zariquiey2017,77,,,,0,- i s a - -,passerine,
Kashinawa_B-10_bird-1,,Kashinawa_B,10_bird,isa,isa,i s a,,camargo1995,77,,,,0,- i s a - -,passerine,
Matses-130_snake-1,,Matses,130_snake,nisi,nisi,n i s i,,fleck2005,1115,,,,0,n i s i,vine,
Matis-130_snake-1,,Matis,130_snake,dunu,dunu,d u n u,,fleck2005,1110,,,,0,d u n u,snake,
Marubo-130_snake-1,,Marubo,130_snake,runu,runu,r u n u,,fleck2005,1110,,,,0,r u n u,snake,
Katukina-130_snake-1,,Katukina,130_snake,runu,runu,r u n u,,aguiar1994,1110,,,,0,r u n u,snake,
Shipibo_Konibo-130_snake-1,,Shipibo_Konibo,130_snake,runu,runu,r u n u,,fleck2005,1110,,,,0,r u n u,snake,
Kapanawa-130_snake-1,,Kapanawa,130_snake,runu,runu,r u n u,,loos1998,1110,,,,0,r u n u,snake,
Arara-130_snake-1,,Arara,130_snake,rundu,rundu,r u nd u,,cunha1993,1110,,,,0,r u nd u,snake,
Shanenawa-130_snake-1,,Shanenawa,130_snake,runu,runu,r u n u,,lanes2005,1110,,,,0,r u n u,snake,
Yawanawa-130_snake-1,,Yawanawa,130_snake,runu,runu,r u n u,,paula1992,1110,,,,0,r u n u,snake,
Nukini-130_snake-1,,Nukini,130_snake,βĩwã,βĩwã,β ĩ w ã,,aguiar2004,1114,,,,0,β ĩ w ã,?,
Poyanawa-130_snake-1,,Poyanawa,130_snake,inãhãkara,inãhãkara,i n ã h ã k a r a,,paula1992,1113,,,,0,i n ã h ã k a r a,?,
Poyanawa-130_snake-2,,Poyanawa,130_snake,rũdu,rũdu,r u nd u,,paula1992,1110,,,,0,r u nd u,snake,
Iskonawa-130_snake-1,,Iskonawa,130_snake,hɨamiʦa,hɨamiʦa,h ɨ a m i ts a,,zariquiey2017,1116,,,,0,h ɨ a m i ts a,snake/hɨamitsa,
Iskonawa-130_snake-2,,Iskonawa,130_snake,nasasaβaj,nasaβaj,n a s a β a i,,zariquiey2017,1112,,,,0,n a s a β a i,?,
Chakobo-130_snake-1,,Chakobo,130_snake,runu,runu,r u n u,,zingg1998,1110,,,,0,r u n u,snake,
Kakataibo-130_snake-1,,Kakataibo,130_snake,runu,runu,r u n u,,zariquiey2017,1110,,,,0,r u n u,snake,
Kaxarari-130_snake-1,,Kaxarari,130_snake,tʃulu,tʃulu,tʃ u l u,,couto2005,1110,,,,0,tʃ u l u,snake,
Mastanawa-130_snake-1,,Mastanawa,130_snake,ɾudu,ɾudu,ɾ u d u,,zariquiey2017,1110,,,,0,ɾ u d u,snake,
Chaninawa-130_snake-1,,Chaninawa,130_snake,ɾudu,ɾudu,ɾ u nd u,,zariquiey2017,1110,,,,0,ɾ u nd u,snake,
Sharanawa-130_snake-1,,Sharanawa,130_snake,ɾudu,ɾudu,ɾ u d u,,zariquiey2017,1110,,,,0,ɾ u d u,snake,
Amawaka-130_snake-1,,Amawaka,130_snake,ɾundu,ɾundu,ɾ u nd u,,zariquiey2017,1110,,,,0,ɾ u nd u,snake,
Nawa-130_snake-1,,Nawa,130_snake,ɾudu,ɾudu,ɾ u d u,,zariquiey2017,1110,,,,0,ɾ u d u,snake,
Marinawa-130_snake-1,,Marinawa,130_snake,ɾundu,ɾundu,ɾ u nd u,,zariquiey2017,1110,,,,0,ɾ u nd u,snake,
Yaminawa-130_snake-1,,Yaminawa,130_snake,ɾudu,ɾudu,ɾ u d u,,zariquiey2017,1110,,,,0,ɾ u d u,snake,
Kashinawa_P-130_snake-1,,Kashinawa_P,130_snake,dunu,dunu,d u n u,,zariquiey2017,1110,,,,0,d u n u,snake,
Kashinawa_B-130_snake-1,,Kashinawa_B,130_snake,dunu,dunu,d u n u,,camargo1995,1110,,,,0,d u n u,snake,
Matses-47_fishnoun-1,,Matses,47_fishnoun,nuɨkkid,nuɨkkid,n u ɨ + k i d,,fleck2005,418,,,,64,n u ɨ + k i d,_-:suffix/kid,
Matis-47_fishnoun-1,,Matis,47_fishnoun,tʃapa,tʃapa,tʃ a p a,,fleck2005,1637,,,,0,tʃ a p a,fish/japa,
Marubo-47_fishnoun-1,,Marubo,47_fishnoun,japa,japa,j a p a,,fleck2005,357,,,,0,j a p a,fish/japa,
Katukina-47_fishnoun-1,,Katukina,47_fishnoun,tsatsa,tsatsa,ts a ts a,,aguiar1994,416,,,,0,ts a ts a,boquichico,
Shipibo_Konibo-47_fishnoun-1,,Shipibo_Konibo,47_fishnoun,yapa,yapa,j a p a,,fleck2005,357,,,,0,j a p a,fish/japa,
Kapanawa-47_fishnoun-1,,Kapanawa,47_fishnoun,yapa,yapa,j a p a,,loos1998,357,,,,0,j a p a,fish/japa,
Arara-47_fishnoun-1,,Arara,47_fishnoun,jumba,jumba,j u mb a,,cunha1993,412,,,,0,j u mb a,fish,
Shanenawa-47_fishnoun-1,,Shanenawa,47_fishnoun,iʂkin,iʂkin,i ʂ k i n,,lanes2005,421,,,,0,i ʂ k i n,delicious/iʂ _kin,
Yawanawa-47_fishnoun-1,,Yawanawa,47_fishnoun,juma,juma,j u m a,,paula1992,412,,,,0,j u m a,fish/juma,
