item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.louse                     -12.0092 0.010229 0.613829 -11.8925 -13.2403 -10.9651 10000    3601     NaN     
treeLikelihood.man                       -53.9509 0.024113 1.424817 -53.8697 -56.7734 -51.3440 10313.76 3491.450 NaN     
treeLikelihood.many                      -42.1539 0.013324 0.727084 -42.0640 -43.4876 -40.8343 12093.42 2977.651 NaN     
treeLikelihood.meat                      -1.01790 0.017492 0.870397 -0.78993 -2.69788 -0.00880 14542.82 2476.134 NaN     
treeLikelihood.mother                    -30.5483 0.012755 0.760481 -30.4483 -31.8990 -29.2055 10130.51 3554.608 NaN     
treeLikelihood.mountain                  -42.8011 0.01274  0.682326 -42.7380 -44.0958 -41.4963 12554.54 2868.284 NaN     
treeLikelihood.mouth                     -42.6812 0.018973 1.016837 -42.6158 -44.7296 -40.7167 12536.82 2872.338 NaN     
treeLikelihood.name                      -17.0607 0.009819 0.534448 -16.9524 -18.1230 -16.1899 12154.10 2962.785 NaN     
treeLikelihood.narrow                    -69.6792 0.018578 1.061059 -69.6206 -71.6366 -67.7136 11039.42 3261.943 NaN     
treeLikelihood.near                      -47.3130 0.013877 0.795887 -47.2199 -48.8713 -45.8720 10947.31 3289.390 NaN     
treeLikelihood.neck                      -5.59848 0.011876 0.647523 -5.39423 -6.83863 -4.95312 12113.66 2972.675 NaN     
treeLikelihood.new                       -27.7426 0.012458 0.704582 -27.6190 -29.0794 -26.5337 11258.19 3198.560 NaN     
treeLikelihood.night                     -50.2274 0.019718 1.03851  -50.1566 -52.2620 -48.2036 12981.22 2774.006 NaN     
treeLikelihood.nose                      -1.04132 0.018194 0.873242 -0.81920 -2.73929 -0.01493 15631.05 2303.747 NaN     
treeLikelihood.old                       -53.7833 0.016828 0.834639 -53.7096 -55.4206 -52.3316 14638.04 2460.027 NaN     
treeLikelihood.one                       -23.2298 0.010799 0.631287 -23.1431 -24.3771 -22.1943 10537.45 3417.332 NaN     
treeLikelihood.other                     -0.90490 0.015763 0.793521 -0.68373 -2.46187 -0.00613 14209.46 2534.226 NaN     
treeLikelihood.person                    -37.1531 0.016347 0.838122 -37.0924 -38.7015 -35.4342 13698.67 2628.721 NaN     
treeLikelihood.play                      -48.7557 0.013153 0.68888  -48.6420 -50.1763 -47.5852 13127.20 2743.158 NaN     
treeLikelihood.pull                      -22.4857 0.009775 0.571955 -22.3955 -23.5499 -21.6317 10518.23 3423.578 NaN     
treeLikelihood.push                      -43.8999 0.014686 0.786196 -43.7840 -45.3018 -42.3610 12565.19 2865.852 NaN     
treeLikelihood.rain                      -5.5884  0.011873 0.643185 -5.37362 -6.87896 -4.89450 12271.35 2934.477 NaN     
treeLikelihood.red                       -38.0371 0.012403 0.697338 -37.9556 -39.3112 -36.8420 11391.17 3161.219 NaN     
treeLikelihood.river                     -60.1128 0.025951 1.557297 -60.2099 -62.8676 -56.9999 10000    3601     NaN     
treeLikelihood.road                      -19.7023 0.012559 0.684423 -19.6292 -20.9893 -18.4261 12124.20 2970.092 NaN     
treeLikelihood.root                      -44.1826 0.015883 0.895842 -44.0467 -46.1277 -42.7116 11319.75 3181.164 NaN     
treeLikelihood.rope                      -47.5987 0.019289 0.925153 -47.4968 -49.4228 -45.9843 15652.97 2300.520 NaN     
treeLikelihood.rotten                    -39.8742 0.019203 0.996347 -39.7984 -41.8622 -38.0357 13376.71 2691.991 NaN     
treeLikelihood.rub                       -47.3712 0.012559 0.71493  -47.2558 -48.7991 -46.1933 11113.21 3240.285 NaN     
treeLikelihood.salt                      -65.9789 0.016742 0.90407  -65.8966 -67.7921 -64.3104 12348.42 2916.161 NaN     
treeLikelihood.sand                      -27.9807 0.017881 0.98795  -27.8682 -30.0858 -26.2752 11796.59 3052.576 NaN     
treeLikelihood.say                       -49.3818 0.013241 0.740839 -49.3113 -50.8798 -48.0787 11502.29 3130.679 NaN     
treeLikelihood.scratch_an                -29.3170 0.012969 0.772579 -29.1183 -30.7412 -28.2197 10147.27 3548.735 NaN     
treeLikelihood.see                       -29.0571 0.011682 0.675414 -28.9651 -30.4275 -27.8548 10772.28 3342.838 NaN     
treeLikelihood.seed                      -24.4870 0.01635  0.91226  -24.3759 -26.3292 -22.8368 11567.36 3113.069 NaN     
