item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.name                         -16.6527 0.011879 0.600535 -16.5842 -17.8185 -15.5568 14090.35 2555.649 NaN     
treeLikelihood.narrow                       -69.5934 0.018687 1.04598  -69.5350 -71.6206 -67.6551 11493.52 3133.069 NaN     
treeLikelihood.near                         -47.7617 0.014851 0.862567 -47.6625 -49.4317 -46.2675 10674.31 3373.519 NaN     
treeLikelihood.neck                         -5.40694 0.011903 0.632353 -5.23384 -6.68123 -4.61203 12759.54 2822.200 NaN     
treeLikelihood.new                          -27.3960 0.013503 0.728459 -27.2836 -28.8122 -26.1685 12372.60 2910.461 NaN     
treeLikelihood.night                        -49.7246 0.020449 1.119851 -49.6678 -51.9806 -47.4587 12006.76 2999.142 NaN     
treeLikelihood.nose                         -1.03178 0.019508 0.887419 -0.79418 -2.73825 -0.00282 17401.36 2069.377 NaN     
treeLikelihood.old                          -51.8725 0.019703 1.000978 -51.8231 -53.7521 -49.9702 13952.39 2580.918 NaN     
treeLikelihood.one                          -22.7356 0.012345 0.68463  -22.6791 -24.0007 -21.4432 11707.51 3075.802 NaN     
treeLikelihood.other                        -0.91491 0.017394 0.823887 -0.68358 -2.55305 -0.00517 16050.66 2243.521 NaN     
treeLikelihood.person                       -36.3423 0.017241 0.911949 -36.2711 -38.2530 -34.7045 12871.46 2797.661 NaN     
treeLikelihood.play                         -49.2807 0.014755 0.821146 -49.1562 -50.8919 -47.8651 11626.53 3097.224 NaN     
treeLikelihood.pull                         -22.4424 0.011368 0.633626 -22.3468 -23.5622 -21.2695 11591.55 3106.572 NaN     
treeLikelihood.push                         -44.1664 0.015622 0.856019 -44.0705 -45.8791 -42.6505 11993.71 3002.404 NaN     
treeLikelihood.rain                         -5.38319 0.011708 0.623756 -5.21098 -6.61494 -4.61560 12686.11 2838.536 NaN     
treeLikelihood.red                          -37.7366 0.012936 0.776241 -37.6708 -39.2489 -36.3082 10000    3601     NaN     
treeLikelihood.river                        -60.4015 0.029824 1.672088 -60.4183 -63.7435 -57.2162 11456.01 3143.327 NaN     
treeLikelihood.road                         -19.0351 0.013747 0.787361 -18.9545 -20.4812 -17.5791 10976.48 3280.649 NaN     
treeLikelihood.root                         -44.0577 0.018837 1.01866  -43.9492 -46.0919 -42.2789 12314.21 2924.262 NaN     
treeLikelihood.rope                         -47.3814 0.020397 1.052175 -47.3210 -49.4856 -45.4408 13532.52 2660.997 NaN     
treeLikelihood.rotten                       -39.9246 0.022655 1.174376 -39.8528 -42.5405 -37.8194 13401.29 2687.053 NaN     
treeLikelihood.rub                          -47.2829 0.013833 0.806474 -47.1812 -48.8835 -45.9015 10594.04 3399.080 NaN     
treeLikelihood.salt                         -65.2778 0.019683 1.052374 -65.2234 -67.2721 -63.1524 12597.22 2858.566 NaN     
treeLikelihood.sand                         -28.1611 0.025573 1.252228 -27.9106 -30.9555 -26.2123 15017.88 2397.807 NaN     
treeLikelihood.say                          -46.7861 0.017885 0.936428 -46.7069 -48.5360 -45.0151 13135.55 2741.414 NaN     
treeLikelihood.scratch_an                   -29.1608 0.015968 0.851581 -28.9694 -30.9736 -27.8362 12660.40 2844.301 NaN     
treeLikelihood.see                          -29.2336 0.014412 0.805832 -29.1720 -30.8790 -27.7562 11517.42 3126.566 NaN     
treeLikelihood.seed                         -24.2601 0.016579 0.923778 -24.1953 -26.3576 -22.4873 11599.12 3104.544 NaN     
treeLikelihood.sew                          -23.2527 0.011551 0.693167 -23.1505 -24.4917 -22.1141 10000    3601     NaN     
treeLikelihood.sharp                        -34.6386 0.014081 0.754301 -34.5815 -36.0961 -33.1759 12547.96 2869.789 NaN     
treeLikelihood.short                        -80.5371 0.017001 0.975323 -80.4242 -82.5543 -78.8717 10941.44 3291.156 NaN     
treeLikelihood.sing                         -47.3100 0.013073 0.760068 -47.2176 -48.7571 -45.8641 10653.13 3380.226 NaN     
treeLikelihood.sit                          -29.2448 0.014832 0.890038 -29.1374 -30.9773 -27.6394 10000    3601     NaN     
treeLikelihood.skin_of                      -26.9371 0.014632 0.860838 -26.8189 -28.5463 -25.3764 10402.99 3461.503 NaN     
treeLikelihood.sky                          -13.0308 0.01043  0.580353 -12.9406 -14.2074 -12.0667 11630.23 3096.240 NaN     
treeLikelihood.sleep                        -0.98075 0.016564 0.823878 -0.76727 -2.54832 -0.00112 14555.19 2474.030 NaN     
treeLikelihood.small                        -73.4911 0.025557 1.325601 -73.4380 -75.9513 -70.7202 13385.17 2690.289 NaN     
treeLikelihood.smell_tr                     -0.97991 0.017416 0.871122 -0.74140 -2.69195 -0.00768 14392.58 2501.982 NaN     
treeLikelihood.smoke                        -28.0739 0.01516  0.80732  -28.0100 -29.5972 -26.5951 12697.15 2836.069 NaN     
treeLikelihood.smooth                       -53.1684 0.017473 0.907196 -53.1266 -54.8994 -51.3616 13358.11 2695.739 NaN     
treeLikelihood.snake                        -28.5605 0.016011 0.884347 -28.4831 -30.2209 -26.8118 11803.52 3050.784 NaN     
treeLikelihood.some                         -30.4720 0.014519 0.823075 -30.4199 -32.1824 -28.8142 11205.77 3213.521 NaN     
treeLikelihood.spit                         -39.8870 0.012683 0.712141 -39.7611 -41.2122 -38.7000 11421.62 3152.791 NaN     
