item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
child             -4.66337 0.004343 0.134808 -4.65776 -4.93449 -4.41243 0        NaN      NaN     
cloud             -4.65882 0.00562  0.133969 -4.65195 -4.90727 -4.39878 0        NaN      NaN     
cloud             -17.6507 0.015489 0.616534 -17.6230 -18.8444 -16.4376 0        NaN      NaN     
cloud             -11.9846 0.010937 0.422483 -11.9708 -12.7787 -11.1586 0        NaN      NaN     
cloud             -5.57598 0.006645 0.238884 -5.56588 -6.05307 -5.12453 0        NaN      NaN     
cold_weather      -10.1486 0.010078 0.356735 -10.1460 -10.8517 -9.48178 0        NaN      NaN     
cold_weather      -13.2382 0.013687 0.463487 -13.2405 -14.2032 -12.4062 0        NaN      NaN     
cold_weather      -4.24728 0.003705 0.093885 -4.24439 -4.43106 -4.06429 0        NaN      NaN     
cold_weather      -4.37564 0.003321 0.090195 -4.37194 -4.55621 -4.19785 0        NaN      NaN     
come              -6.55280 0.007522 0.220574 -6.54343 -6.99334 -6.13181 0        NaN      NaN     
come              -4.69287 0.005498 0.132639 -4.68672 -4.94094 -4.43762 0        NaN      NaN     
come              -4.70186 0.004245 0.133784 -4.69751 -4.97348 -4.45727 0        NaN      NaN     
count_verb        -14.8414 0.011293 0.338041 -14.8314 -15.5495 -14.2334 0        NaN      NaN     
count_verb        -5.03691 0.003948 0.13391  -5.03634 -5.28964 -4.76439 0        NaN      NaN     
count_verb        -4.67478 0.004485 0.128075 -4.67209 -4.94547 -4.43909 0        NaN      NaN     
count_verb        -4.21782 0.003902 0.097256 -4.21300 -4.43416 -4.04968 0        NaN      NaN     
count_verb        -4.44725 0.004028 0.101192 -4.44393 -4.64265 -4.24965 0        NaN      NaN     
count_verb        -4.20032 0.003829 0.096312 -4.19990 -4.38890 -4.01432 0        NaN      NaN     
count_verb        -5.21724 0.00419  0.140017 -5.21159 -5.49409 -4.95981 0        NaN      NaN     
count_verb        -5.10657 0.004014 0.133791 -5.1014  -5.36832 -4.85929 0        NaN      NaN     
cut_verb          -17.4737 0.012419 0.442785 -17.4715 -18.3254 -16.6072 0        NaN      NaN     
cut_verb          -4.68263 0.005522 0.132699 -4.67641 -4.93003 -4.42830 0        NaN      NaN     
cut_verb          -4.36615 0.003356 0.090601 -4.36207 -4.54600 -4.18606 0        NaN      NaN     
cut_verb          -4.36615 0.003356 0.090601 -4.36207 -4.54600 -4.18606 0        NaN      NaN     
cut_verb          -5.75316 0.005538 0.190109 -5.74697 -6.09550 -5.38510 0        NaN      NaN     
cut_verb          -4.69672 0.004347 0.122847 -4.69317 -4.94815 -4.46539 0        NaN      NaN     
