ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	MORPHEMES	COGID	BODY	BODYID
3980	Araona	big	ajalili	ajalili	a j a l i l i			65	[]	1
3981	Araona	big	iyo	iyo	i j o			69	[]	1
3982	Araona	big	kuichakata	kuichakata	k u i tʃ a k a t a			68	[]	1
51	Matses	bird	wiktʂu	wiktʂu	w i k ʈʂ u n			84	[]	1
52	Matis	bird	tʃididiʃ	tʃididiʃ	tʃ i d i d i ʃ			85	[]	1
53	Marubo	bird	ʃai	ʃai	ʃ a i			77	[]	1
54	Shipibo_Konibo	bird	isa	isa	i s a			77	[]	1
55	Kapanawa	bird	isa	isa	i s a			77	[]	1
56	Shanenawa	bird	juina	juina	j u i n a			78	[]	1
57	Yawanawa	bird	juina	juina	j u i n a			78	[]	1
58	Nukini	bird	pãri	pãri	p ã r i			83	[]	1
59	Poyanawa	bird	puya	puya	p ɨ n j a			76	[]	1
60	Iskonawa	bird	piɾiʃika	piɾiʃika	p i ɾ i + ʃ i k a			1557	[]	1
61	Chakobo	bird	isaka	isaka	i s a + k a			77	[]	1
62	Pakawara	bird	isku	isku	i s k u			82	[]	1
63	Kakataibo	bird	?isa	ʔisa	ʔ i s a			77	[]	1
64	Kaxarari	bird	ʂuipiatu	ʂuipiatu	ʂ u i + p i a t u			86	[]	1
65	Mastanawa	bird	pɨja	pɨja	p ɨ n j a			76	[]	1
66	Chaninawa	bird	pɨija	pɨija	p ɨ n j a			76	[]	1
67	Sharanawa	bird	pɨija	pɨija	p ɨ n j a			76	[]	1
68	Sharanawa	bird	t͡sit͡sipiu	t͡sit͡sipiu	ts i ts i p i/j u			79	[]	1
69	Amawaka	bird	pɨnja	pɨnja	p ɨ n j a			76	[]	1
70	Nawa	bird	pɨja	pɨja	p ɨ n j a			76	[]	1
71	Marinawa	bird	pɨ:ja	pɨ:ja	p ɨ n j a			76	[]	1
72	Marinawa	bird	tsi:tsipju	tsi:tsipju	ts iː ts i p j u			79	[]	1
73	Yaminawa	bird	pɨja	pɨja	p ɨ n j a			76	[]	1
74	Kashinawa_P	bird	isa	isa	i s a			77	[]	1
75	Kashinawa_B	bird	isa	isa	i s a			77	[]	1
76	Araona	bird	boni	boni	b o n i			1556	[]	1
2880	Matses	bite	pe	pe	p e			93	[]	1
2881	Matis	bite	pe	pe	p e			93	[]	1
2882	Marubo	bite	naʃa	naʂa	n a ʂ a			1559	[]	1
2883	Katukina	bite	naxa	naʂa	n a ʂ a			90	[]	1
2884	Shipibo_Konibo	bite	natɨʂ	natɨʂ	n a t ɨ ʂ			92	[]	1
2885	Kapanawa	bite	natɨʂ	natɨʂ	n a t ɨ ʂ			92	[]	1
2886	Shanenawa	bite	naka	naka	n a k a			90	[]	1
2887	Yawanawa	bite	naka	naka	n a k a			90	[]	1
2888	Poyanawa	bite	daça	daça	d a ç a			91	[]	1
2889	Iskonawa	bite	kiwi	kiwi	k i w i			89	[]	1
2890	Chakobo	bite	tɨʂa	tɨʂa	t ɨ ʂ a			1558	[]	1
2891	Kakataibo	bite	natɨʂ	natɨʂ	n a t ɨ ʂ			92	[]	1
2892	Kaxarari	bite	ʃɨla	ʃɨla	ʃ ɨ l a			96	[]	1
2893	Mastanawa	bite	ʂatɨa	ʂatɨ	ʂ a t ɨ			97	[]	1
2894	Mastanawa	bite	kɨju	kɨju	k ɨ j u			89	[]	1
2895	Chaninawa	bite	kɨjuj	kɨju	k ɨ j u			89	[]	1
2896	Sharanawa	bite	kɨjuwi	kɨju	k ɨ j u			89	[]	1
2897	Amawaka	bite	naʔtɨçɨ	natɨçɨ	n a t ɨ ç ɨ			92	[]	1
2898	Nawa	bite	kɨjuɸi	kɨju	k ɨ j u			89	[]	1
2899	Marinawa	bite	kɨju	kɨju	k ɨ j u			89	[]	1
2900	Yaminawa	bite	kɨjuwi	kɨju	k ɨ j u			89	[]	1
2901	Kashinawa_P	bite	kɨjwa	kɨju	k ɨ j u			89	[]	1
2902	Kashinawa_B	bite	kɨjuwi	kɨju	k ɨ j u			89	[]	1
2903	Araona	bite	lao	lao	l a o			91	[]	1
2904	Araona	bite	c̷oi	c̷oi	tʃ o i			1560	[]	1
3601	Matses	black	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ			99	[]	1
3602	Matis	black	wisu	wisu	w i s u			98	[]	1
3603	Marubo	black	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ			99	[]	1
3604	Marubo	black	isu	isu	i s u			98	[]	1
3605	Katukina	black	txeshe	txeshe	tx/ʈʂ e ʃ e			99	[]	1
3606	Shipibo_Konibo	black	wisu	wisu	w i s u			98	[]	1
3607	Kapanawa	black	wisu	wisu	w i s u			98	[]	1
3608	Shanenawa	black	tuʂu	tɨʂɨ	t ɨ ʂ ɨ			1563	[]	1
3609	Yawanawa	black	tʃɨhʃɨ	tʃɨhʃɨ	tʃ ɨ h ʃ ɨ			99	[]	1
3610	Nukini	black	βisu	βisu	β i s u			98	[]	1
3611	Poyanawa	black	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ			99	[]	1
3612	Iskonawa	black	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ			99	[]	1
3613	Chakobo	black	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ			1562	[]	1
3614	Pakawara	black	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ			1562	[]	1
3615	Kakataibo	black	tunan	tunan	t u n a n			102	[]	1
3616	Kaxarari	black	tʃɨʂɨ	tʃɨʂɨ	tʃ ɨ ʂ ɨ			99	[]	1
3617	Mastanawa	black	ɸɨsu(pa)	ɸɨsu	ɸ ɨ s u			98	[]	1
3618	Chaninawa	black	ɸisu	ɸisu	ɸ i s u			98	[]	1
3619	Sharanawa	black	ɸisu	ɸisu	ɸ i s u			98	[]	1
3620	Amawaka	black	t͡ʃaʔu	t͡ʃaʔu	tʃ a ʔ u			103	[]	1
3621	Nawa	black	ɸisu	ɸisu	ɸ i s u			98	[]	1
3622	Marinawa	black	ɸisu	ɸisu	ɸ i s u			98	[]	1
3623	Marinawa	black	ʧɨʂɨ	ʧɨʂɨ	tʃ ɨ ʂ ɨ			99	[]	1
3624	Yaminawa	black	ɸɨsu	ɸɨsu	ɸ ɨ s u			98	[]	1
3625	Kashinawa_P	black	mɨʂu	mɨʂu	m ɨ ʂ u			1561	[]	1
3626	Kashinawa_B	black	mɨʂupa	mɨʂupa	m ɨ ʂ u p a			1561	[]	1
3627	Araona	black	sewa	sewa	s e w a			100	[]	1
1077	Matses	blood	intak	intak	i n + t a k			105	[]	1
1078	Matis	blood	imi	imi	i m i			106	[]	1
1079	Marubo	blood	imi	imi	i m i			106	[]	1
1080	Katukina	blood	himi	himi	h i m i			106	[]	1
1081	Shipibo_Konibo	blood	himi	himi	h i m i			106	[]	1
1082	Kapanawa	blood	himi	himi	h i m i			106	[]	1
1083	Shanenawa	blood	imi	imi	i m i			106	[]	1
1084	Yawanawa	blood	imi	imi	i m i			106	[]	1
1085	Nukini	blood	imĩ	imĩ	i m ĩ			106	[]	1
1086	Poyanawa	blood	imbi	imbi	i m b i			106	[]	1
1087	Iskonawa	blood	imi	imi	i m i			106	[]	1
1088	Chakobo	blood	himi	himi	h i m i			106	[]	1
1089	Pakawara	blood	himi	himi	h i m i			106	[]	1
1090	Kakataibo	blood	imi	imi	i m i			106	[]	1
1091	Kaxarari	blood	himi	himi	h i m i			106	[]	1
1092	Mastanawa	blood	ibi	ibi	i b i			106	[]	1
1093	Chaninawa	blood	ibi	ibi	i b i			106	[]	1
1094	Sharanawa	blood	ibi	ibi	i b i			106	[]	1
1095	Amawaka	blood	himbi	himbi	h i m b i			106	[]	1
1096	Nawa	blood	ibi	ibi	i b i			106	[]	1
1097	Marinawa	blood	inbi	inbi	i n b i			106	[]	1
1098	Yaminawa	blood	ibi	ibi	i b i			106	[]	1
1099	Kashinawa_P	blood	himi	himi	h i m i			106	[]	1
1100	Kashinawa_B	blood	himi	himi	h i m i			106	[]	1
1101	Araona	blood	ami	ami	a m i			106	[]	1
2274	Matses	blow [wind]	kunke	kunke	k u n + k e			1565	[]	1
2275	Matis	blow [wind]	kunke	kunke	k u n + k e			1565	[]	1
2276	Marubo	blow [wind]	ʂuβi iki	ʂuβi iki	ʂ u β i + i k i			112	[]	1
2277	Shipibo_Konibo	blow [wind]	ʂu	ʂu	ʂ u			111	[]	1
2278	Kapanawa	blow [wind]	ʂuanki	ʂuanki	ʂ u a n + k i			111	[]	1
2279	Shanenawa	blow [wind]	ʂuan	ʂuan	ʂ u a n			111	[]	1
2280	Yawanawa	blow [wind]	sui	sui	s u i			111	[]	1
2281	Poyanawa	blow [wind]	hun	hun	h u n			111	[]	1
2282	Iskonawa	blow [wind]	hun hun ik	hun hun ik	h u n + h u n + i k			111	[]	1
2283	Iskonawa	blow [wind]	puyu puyu ik	puyu puyu ik	p u j u + p u j u + i k			115	[]	1
2284	Chakobo	blow [wind]	ʂu?a	ʂuʔa	ʂ u ʔ a			111	[]	1
2285	Kakataibo	blow [wind]	ʂunka	ʂunka	ʂ u n k a			111	[]	1
2286	Kaxarari	blow [wind]	kuha	kuha	k u h a			1564	[]	1
2287	Mastanawa	blow [wind]	ʂunaj	ʂunaj	ʂ u n a j			111	[]	1
2288	Chaninawa	blow [wind]	ʂũnwaki	ʂũwankin	ʂ ũ w a n k i			111	[]	1
2289	Sharanawa	blow [wind]	ʂũnwaki	ʂũnwaki	ʂ ũ n w a k i			111	[]	1
2290	Amawaka	blow [wind]	çunki	çunki	ç u n k i			111	[]	1
2291	Nawa	blow [wind]	ʂuanki	ʂuanki	ʂ u a n k i			111	[]	1
2292	Marinawa	blow [wind]	ʂunwaki	ʂunwaki	ʂ u n w a k i			111	[]	1
2293	Yaminawa	blow [wind]	ʃuwaʔi	ʃuwaʔi	ʃ u w a ʔ i			111	[]	1
2294	Kashinawa_P	blow [wind]	ʂuanka	ʂuanka	ʂ u a n k a			111	[]	1
2295	Kashinawa_B	blow [wind]	ʂuwaki	ʂuwaki	ʂ u w a k i			111	[]	1
2296	Araona	blow [wind]	wo	wo	w o			108	[]	1
2297	Araona	blow [wind]	lepe	lepe	l e p e			114	[]	1
1007	Matses	bone	kanite	kanite	k a + n i t e			121	[]	1
1008	Matis	bone	wiʃpo	wiʃpo	w i ʃ p o			122	[]	1
